hydrophone1,hydrophone2,hydrophone3,hydrophone4,hydrophone5
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
"[-286.0, -298.0, 0.0, -12.0, 6.0, -8.0, 6.0, -6.0, 6.0, -4.0, 6.0, -8.0, 6.0, -10.0, 6.0, -6.0, 8.0, -6.0, 8.0, -6.0, 6.0, -6.0, 4.0, -4.0, 0.0, 6.0, 12.0, -14.0, 10.0, -10.0, 10.0, -12.0, 10.0, -8.0, 10.0, -8.0, 8.0, -10.0, 12.0, -10.0, 10.0, -10.0, 8.0, -10.0, 8.0, -10.0, 10.0, -10.0, 8.0, -10.0, 14.0, -10.0, 12.0, -12.0, 14.0, -10.0, 12.0, -10.0, 10.0, -12.0, 12.0, -10.0, 10.0, -12.0, 14.0, -8.0, 10.0, -14.0, 12.0, -12.0, 14.0, -12.0, 12.0, -12.0, 14.0, -18.0, 14.0, -14.0, 14.0, -16.0, 14.0, -14.0, 10.0, -18.0, 16.0, -14.0, 14.0, -14.0, 14.0, -16.0, 14.0, -16.0, 14.0, -14.0, 14.0, -16.0, 14.0, -18.0, 18.0, -20.0, 12.0, -18.0, 16.0, -20.0, 14.0, -18.0, 16.0, -22.0, 16.0, -20.0, 14.0, -20.0, 14.0, -20.0, 10.0, -22.0, 16.0, -22.0, 16.0, -20.0, 14.0, -22.0, 16.0, -24.0, 18.0, -24.0, 16.0, -26.0, 18.0, -26.0, 18.0, -28.0, 16.0, -26.0, 16.0, -28.0, 16.0, -30.0, 18.0, -36.0, 20.0, -28.0, 16.0, -30.0, 18.0, -36.0, 18.0, -38.0, 18.0, -38.0, 18.0, -40.0, 18.0, -42.0, 22.0, -46.0, 20.0, -46.0, 20.0, -50.0, 20.0, -54.0, 20.0, -58.0, 26.0, -60.0, 20.0, -66.0, 22.0, -74.0, 24.0, -84.0, 20.0, -94.0, 26.0, -102.0, 26.0, -124.0, 40.0, -138.0, 38.0, -174.0, 44.0, -230.0, 58.0, -330.0, 92.0, -602.0, 468.0, -3480.0, -104.0, 902.0, -38.0, 396.0, -18.0, 252.0, -10.0, 184.0, -2.0, 144.0, -10.0, 120.0, -4.0, 98.0, 2.0, 86.0, 2.0, 74.0, 4.0, 66.0, 6.0, 58.0, 10.0, 52.0, 4.0, 52.0, 6.0, 46.0, 8.0, 42.0, 6.0, 40.0, 8.0, 38.0, 8.0, 34.0, 8.0, 34.0, 8.0, 30.0, 10.0, 28.0, 8.0, 28.0, 8.0, 24.0, 10.0, 24.0, 12.0, 24.0, 10.0, 22.0, 10.0, 22.0, 10.0, 20.0, 14.0, 20.0, 12.0, 18.0, 10.0, 18.0, 12.0, 16.0, 10.0, 16.0, 12.0, 18.0, 12.0, 16.0, 12.0, 16.0, 12.0, 18.0, 12.0, 14.0, 14.0, 14.0, 14.0, 14.0, 12.0, 12.0, 12.0, 14.0, 14.0, 14.0, 12.0, 14.0, 14.0, 12.0, 12.0, 12.0, 12.0, 10.0, 12.0, 10.0, 14.0, 10.0, 12.0, 10.0, 14.0, 10.0, 14.0, 10.0, 10.0, 10.0, 16.0, 8.0, 14.0, 8.0, 12.0, 8.0, 14.0, 8.0, 14.0, 8.0, 14.0, 10.0, 12.0, 8.0, 14.0, 10.0, 14.0, 6.0, 14.0, 6.0, 14.0, 8.0, 14.0, 6.0, 14.0, 8.0, 14.0, 6.0, 12.0, 8.0, 14.0, 6.0, 14.0, 6.0, 14.0, 6.0, 14.0, 6.0, 16.0, 6.0, 16.0, 4.0, 16.0, 4.0, 16.0, 4.0, 14.0, 4.0, 16.0, 4.0, 14.0, 6.0, 16.0, 4.0, 14.0, 4.0, 10.0, 2.0, 16.0, 6.0, 14.0, 4.0, 14.0, 4.0, 16.0, 4.0, 14.0, 6.0, 14.0, 4.0, 14.0, 4.0, 14.0, 6.0, 12.0, 6.0, 14.0, 4.0, 14.0, 4.0, 14.0, 4.0, 16.0, 4.0, 14.0, 2.0, 16.0, 2.0, 16.0, 2.0, 16.0, 4.0, 14.0, 4.0, 16.0, 2.0, 14.0, 4.0, 16.0, 2.0, 14.0, 2.0, 16.0, 4.0, 16.0, 4.0, 14.0, 4.0, 14.0, 4.0, 16.0, 6.0, 14.0, 2.0, 14.0, 4.0, 14.0, 2.0, 16.0, 2.0, 14.0, 4.0, 14.0, 2.0, 14.0, 2.0, 14.0, 2.0, 16.0, 2.0, 14.0, 2.0, 14.0, 2.0, 14.0, 2.0, 16.0, 2.0, 18.0, 6.0, 14.0, 4.0, 14.0, 2.0, 14.0, 2.0, 16.0, 2.0, 14.0, 4.0, 16.0, 2.0, 16.0, 4.0, 14.0, 6.0, 14.0, 4.0, 14.0, 4.0, 12.0, 6.0, -2.0, 20.0, 28.0, -10.0, 22.0, -2.0, 18.0, 0.0, 18.0, -2.0, 18.0, 0.0, 18.0, 0.0, 16.0, 2.0, 16.0, 2.0, 18.0, 0.0, 18.0, 0.0, 18.0, 0.0, 18.0, 0.0, 16.0, 0.0, 16.0, 0.0, 18.0, 0.0, 16.0, 0.0, 18.0, 0.0, 18.0, 0.0, 16.0, 0.0, 18.0, 0.0, 18.0, 2.0, 16.0, 0.0, 16.0, 2.0, 16.0, 0.0, 16.0, 4.0, 18.0, 0.0, 18.0, 2.0, 18.0, 0.0, 18.0, 2.0, 18.0, 2.0, 18.0, 2.0, 18.0, 0.0, 18.0, 0.0, 18.0, 0.0, 20.0, 0.0, 16.0, 2.0, 16.0, 2.0, 18.0, 0.0, 20.0, 2.0, 18.0, 0.0, 20.0, 2.0, 18.0, 0.0, 20.0, 2.0, 18.0, 2.0, 20.0, 4.0, 18.0, 2.0, 16.0, 0.0, 18.0, 0.0, 18.0, 0.0, 20.0, 2.0, 22.0, 2.0, 18.0, 0.0, 20.0, 0.0, 18.0, 2.0, 20.0, 2.0, 18.0, 2.0, 18.0, 2.0, 20.0, 0.0, 20.0, 0.0, 18.0, 2.0, 20.0, 2.0, 24.0, 0.0, 20.0, 0.0, 22.0, 0.0, 18.0, 2.0, 22.0, 0.0, 22.0, 2.0, 18.0, 0.0, 22.0, 0.0, 16.0, 0.0, 20.0, 0.0, 22.0, 0.0, 20.0, 2.0, 22.0, 2.0, 22.0, 0.0, 22.0, 0.0, 22.0, 2.0, 20.0, 0.0, 22.0, 0.0, 24.0, 0.0, 22.0, 0.0, 22.0, -6.0, 24.0, 6.0, 22.0, 2.0, 22.0, 2.0, 22.0, 2.0, 22.0, 4.0, 24.0, 4.0, 24.0, 4.0, 24.0, 2.0, 22.0, 4.0, 24.0, 2.0, 22.0, 4.0, 20.0, 10.0, 30.0, -8.0, 26.0, -2.0, 28.0, 2.0, 26.0, 0.0, 24.0, 2.0, 26.0, 2.0, 26.0, 0.0, 28.0, 2.0, 26.0, 2.0, 26.0, 0.0, 28.0, 0.0, 28.0, 2.0, 22.0, -14.0, 28.0, 0.0, 28.0, 0.0, 30.0, 2.0, 22.0, 0.0, 28.0, 2.0, 28.0, 2.0, 28.0, 2.0, 26.0, 2.0, 30.0, 0.0, 28.0, 0.0, 30.0, 0.0, 34.0, 0.0, 28.0, 0.0, 30.0, 2.0, 32.0, 0.0, 30.0, 2.0, 32.0, 0.0, 32.0, 0.0, 32.0, 0.0, 30.0, 0.0, 32.0, 0.0, 36.0, 0.0, 34.0, 0.0, 32.0, -2.0, 36.0, 0.0, 38.0, -2.0, 38.0, -2.0, 38.0, -2.0, 38.0, 2.0, 40.0, 0.0, 38.0, 0.0, 40.0, -2.0, 40.0, 0.0, 40.0, -2.0, 40.0, 0.0, 42.0, 0.0, 40.0, 2.0, 42.0, 0.0, 42.0, 0.0, 44.0, -2.0, 44.0, 0.0, 46.0, -2.0, 48.0, 0.0, 48.0, 0.0, 52.0, -4.0, 48.0, 0.0, 50.0, -2.0, 52.0, -2.0, 52.0, -2.0, 54.0, -4.0, 56.0, -2.0, 58.0, -2.0, 62.0, -2.0, 64.0, -2.0, 62.0, -4.0, 62.0, -2.0, 70.0, 2.0, 68.0, -4.0, 70.0, -6.0, 76.0, -4.0, 74.0, -4.0, 80.0, -8.0, 86.0, -6.0, 90.0, -8.0, 96.0, -6.0, 96.0, -10.0, 102.0, -8.0, 110.0, -10.0, 120.0, -14.0, 122.0, -6.0, 130.0, -14.0, 146.0, -10.0, 160.0, -18.0, 184.0, -20.0, 206.0, -26.0, 246.0, -38.0, 288.0, -26.0, 366.0, -38.0, 490.0, -56.0, 754.0, -90.0, 1690.0, -214.0, -6402.0, 844.0, -1086.0, 152.0, -586.0, 86.0, -400.0, 62.0, -302.0, 50.0, -232.0, 54.0, -204.0, 28.0, -166.0, 28.0, -146.0, 22.0, -132.0, 22.0, -112.0, 22.0, -102.0, 18.0, -92.0, 26.0, -84.0, 16.0, -76.0, 14.0, -68.0, 18.0, -58.0, 14.0, -62.0, 16.0, -54.0, 12.0, -52.0, 14.0, -46.0, 14.0, -44.0, 12.0, -44.0, 12.0, -36.0, 10.0, -30.0, 14.0, -44.0, 14.0, -32.0, 12.0, -32.0, 12.0, -26.0, 12.0, -28.0, 10.0, -26.0, 10.0, -22.0, 10.0, -24.0, 10.0, -22.0, 10.0, -20.0, 6.0, -18.0, 10.0, -16.0, 10.0, -18.0, 2.0, -14.0, 6.0, -14.0, 4.0, -12.0, 8.0, -14.0, 8.0, -10.0, 6.0, -12.0, 8.0, -12.0, 6.0, -12.0, 10.0, -10.0, 6.0, -8.0, 6.0, -6.0, 4.0, -6.0, 4.0, -6.0, 6.0, -4.0, 6.0, -6.0, 6.0, -6.0, 8.0, -2.0, 6.0, -4.0, 4.0, -4.0, 6.0, -8.0, 4.0, 0.0, 2.0, 2.0, 6.0, 0.0, 2.0, -2.0, -2.0, 2.0, 4.0, 2.0, 4.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 4.0, 4.0, 2.0, 4.0, 4.0, 6.0, 2.0, -4.0, 4.0, 0.0, 4.0, 0.0, 4.0, -2.0, 4.0, 2.0, 4.0, 4.0, 2.0, 2.0, 4.0, 2.0, 6.0, 0.0, 4.0, 0.0, 4.0, 0.0, 0.0, 2.0, 22.0, -10.0, 10.0, -4.0, 10.0, -4.0, 10.0, -2.0, 8.0, -2.0, 8.0, -2.0, 8.0, -2.0, 8.0, -2.0, 14.0, -2.0, 10.0, -2.0, 8.0, -4.0, 8.0, -8.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 313.0, 1837.0, 478.0, 181.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 181.0, 478.0, 1837.0, 313.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1837.0, 39472.0, 23829.0, 1837.0, 390527.0, -23829.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
[],[],[],[],[]
